Name,Latitude,Longitude,OSM_ID
Ecole Ngwalabi,-4.429243,15.407191,4798234623
Ecole Mamadou,-4.418533,15.414909,4798241507
Lycee St-Joseph,-4.4169234,15.4139382,4798241705
College Bel Elan,-4.4139916,15.4087765,4798252988
Ecole (en construction 2016),-4.420432,15.411527,4798257687
Centre Scolaire Bomoko,-4.4217856,15.4111584,4798266419
Orphelinat Mahanaim,-4.424292,15.4099478,4798271420
Ecole Primaire 5,-4.424291,15.402154,4798290295
Institut Muyumbu,-4.4270683,15.4004593,4798294548
College Saint-Joseph,-4.4245594,15.3969254,4798306535
Ecole Les Oliviers,-4.4187844,15.4021287,4798326195
Complexe Scolaire Bolingani,-4.4209322,15.3968289,4798328514
Ecole Mabiko,-4.4215965,15.4008964,4798329841
Complexe scolaire Les Oliviers,-4.4195564,15.3992948,4798331953
Ecole Tembe,-4.4151284,15.4035147,4798338415
Ecole Soleil,-4.4105854,15.3946438,4798339411
Groupe Scolaire,-4.411567,15.396355,4798340552
Ecole Samuel Masambakidi,-4.4144665,15.4000655,4798342858
College Oasis,-4.411871,15.408565,4798347198
"Ecole Malako, EP3, St-marc",-4.408757,15.409432,4798358410
Ecole Infrak,-4.4089374,15.4057587,4798361197
Ecole Ste-Rita,-4.408856,15.3996328,4798362647
Lycee Mwinda,-4.4097948,15.3960943,4798364292
Institut Foi EP Yasa,-4.4098193,15.3957756,4798365050
College Kwayoungu,-4.4060773,15.3933608,4798806583
College Royal,-4.404215,15.409544,4798830053
EP 2 & 12 Kingasani,-4.4046104,15.4068138,4798853980
Institut Malako,-4.4047809,15.4063555,4798858373
College Saint-Paul,-4.4028554,15.4015176,4798865577
Complexe Scolaire Mbelia,-4.4025219,15.3990803,4801959617
College St-Paul,-4.4020174,15.4023828,4801960877
Ecole St-Boniface,-4.4035012,15.3962983,4801979402
Ecole Dibue Dia Ditumba,-4.401013,15.395202,4801987109
Ecole Mamassa,-4.400729,15.392681,4802047404
École portuguaise,-4.3087366,15.3178623,4866013704
Groupe Scolaire Tumba,-4.4099011,15.2911931,4909413116
Institut Cardinal Malula,-4.4123186,15.2903536,4909413223
Collège Saint Joseph,-4.3004859,15.3160161,4945976043
Collège Mater Vitae,-4.4164963,15.2539549,5045444721
CEM,-4.432371,15.2786041,5077945882
College Pierre Bouvet,-4.4414441,15.2597489,5083164443
C.S Eucalyptus,-4.4414468,15.2667014,5083197715
Betyna,-4.4412266,15.26454,5084830731
Ecole Mpieko,-4.3447082,15.2743345,5109221813
EP1 et 2 Bandal Saint Cassien,-4.3533007,15.2853084,5163173199
Institut Ebenga,-4.3911919,15.3217412,5168100762
Ecole CBCO,-4.3444428,15.2763632,5176715275
